parcellation_label,parcellation_term_label,parcellation_term_set_label,parcellation_index,voxel_count,volume_mm3,color_hex_triplet,red,green,blue,parcellation_term_name,parcellation_term_acronym,parcellation_term_set_name,term_set_order,term_order,parent_term_label
AllenCCF-Annotation-2020-656,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,646,2320426,2.3204260000000003,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-656,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,646,2320426,2.3204260000000003,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-656,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,646,2320426,2.3204260000000003,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-656,AllenCCF-Ontology-2017-993,AllenCCF-Ontology-2017-STRU,646,2320426,2.3204260000000003,#1F9D5A,31,157,90,Secondary motor area,MOs,structure,3,3,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-656,AllenCCF-Ontology-2017-656,AllenCCF-Ontology-2017-SUBS,646,2320426,2.3204260000000003,#1F9D5A,31,157,90,"Secondary motor area, layer 1",MOs1,substructure,4,11,AllenCCF-Ontology-2017-993
AllenCCF-Annotation-2020-962,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,952,3804232,3.8042320000000007,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-962,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,952,3804232,3.8042320000000007,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-962,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,952,3804232,3.8042320000000007,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-962,AllenCCF-Ontology-2017-993,AllenCCF-Ontology-2017-STRU,952,3804232,3.8042320000000007,#1F9D5A,31,157,90,Secondary motor area,MOs,structure,3,3,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-962,AllenCCF-Ontology-2017-962,AllenCCF-Ontology-2017-SUBS,952,3804232,3.8042320000000007,#1F9D5A,31,157,90,"Secondary motor area, layer 2/3",MOs2/3,substructure,4,12,AllenCCF-Ontology-2017-993
AllenCCF-Annotation-2020-767,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,757,4523054,4.523054000000001,#FFFFFF,255,255,255,brain,brain,organ,0,0,
AllenCCF-Annotation-2020-767,AllenCCF-Ontology-2017-8,AllenCCF-Ontology-2017-CATE,757,4523054,4.523054000000001,#BFDAE3,191,218,227,Basic cell groups and regions,grey,category,1,1,AllenCCF-Ontology-2017-997
AllenCCF-Annotation-2020-767,AllenCCF-Ontology-2017-315,AllenCCF-Ontology-2017-DIVI,757,4523054,4.523054000000001,#70FF71,112,255,113,Isocortex,Isocortex,division,2,1,AllenCCF-Ontology-2017-8
AllenCCF-Annotation-2020-767,AllenCCF-Ontology-2017-993,AllenCCF-Ontology-2017-STRU,757,4523054,4.523054000000001,#1F9D5A,31,157,90,Secondary motor area,MOs,structure,3,3,AllenCCF-Ontology-2017-315
AllenCCF-Annotation-2020-767,AllenCCF-Ontology-2017-767,AllenCCF-Ontology-2017-SUBS,757,4523054,4.523054000000001,#1F9D5A,31,157,90,"Secondary motor area, layer 5",MOs5,substructure,4,13,AllenCCF-Ontology-2017-993
AllenCCF-Annotation-2020-1021,AllenCCF-Ontology-2017-997,AllenCCF-Ontology-2017-ORGA,1010,2377730,2.3777300000000006,#FFFFFF,255,255,255,brain,brain,organ,0,0,
